Karmn_1a,SpTnum_1,M_Msol,eM_Msol,Karmn_1,d_pc_1,ed_pc_1,L_Lsol_1,eL_Lsol,F_bol_E-13_ergcm-2s-1,F_x/F_bol,L_x_E28_ergs-1,eL_x_E28_ergs-1,SpTnum_2,SKG,Ref14,SKG_lit,vsini_kms-1,evsini_kms-1,P_d,eP_d,g_mag_1,eg_mag_1,GG_mag,eGG_mag,RP_mag,eRP_mag,L_x/L_Lsol,Karmn_2,Name,B_mag,eB_mag,Ref25,g_mag_2,eg_mag_2,V_mag,eV_mag,Ref29
J08082+211,3.0,,,J08082+211,17.783,0.036,0.0,0.0,0.0,Infinity,20.99958845640425,1.6545957146465393,3.0,,,,35.0,,,,12.468,0.017,10.1583,0.003,8.9166,0.0042,Infinity,J08082+211,BD+21 1764B,,,,12.468,0.017,,,
J08089+328,2.8,,,J08089+328,24.5,0.023,0.0,0.0,0.0,Infinity,41.47946341982231,2.8855967424173965,2.8,,,,,,3.37,,12.69,0.003,10.8556,0.0029,9.6696,0.0043,Infinity,J08089+328,V* FP Cnc B,,,,12.69,0.003,,,
J08095+219,1.5,0.485,0.019,J08095+219,20.947,0.009,0.031,0.001,22705.21732882469,9.627743602100232E-5,1.1478773399440025,0.5109261595260004,1.5,,,,,,,,12.574,0.05,10.864,0.0028,9.7811,0.0039,9.627743602100232E-5,J08095+219,LP 366-045,13.351,0.06,UCAC4,12.574,0.05,11.794,0.02,UCAC4
J08286+660,4.0,,,J08286+660,19.8,1.4,0.0,0.0,0.0,Infinity,1.4900899105566565,0.345779661881972,4.0,,,,17.8,,,,14.354,0.07,12.4854,0.0075,10.9264,0.0038,Infinity,J08286+660,2MASS J08284121+6602239,15.251,0.1,UCAC4,14.354,0.07,13.506,0.04,UCAC4
J08316+193S,3.5,,,J08316+193S,16.65,0.01,0.0,0.0,0.0,Infinity,19.110306156097597,1.304498468086696,3.5,,,,,,2.7699999809265137,,12.573,0.04,10.5761,0.0028,9.3116,0.004,Infinity,J08316+193S,CU Cnc,13.376,0.13,UCAC4,12.573,0.04,11.809,0.04,UCAC4
J08317+057,1.0,0.8052,0.0292,J08317+057,48.472,0.284,0.104,0.003,14225.224525969878,0.001315339551115392,52.61147858683373,6.469938302973005,1.0,AB Dor?,Schl12a,AB Dor?,,,,,12.659,0.01,11.2091,0.0035,10.2186,0.0061,0.001315339551115392,J08317+057,2MASS J08314794+0545186,13.308,0.031,APASS9,12.659,0.01,11.949,0.036,APASS9
J08358+680,2.5,0.3585,0.0104,J08358+680,12.998,0.003,0.018,0.0,34239.47321005968,4.220275363429193E-5,0.2921612102825786,0.07420288183532175,2.5,,,,2.0,,,,12.372,0.05,10.5499,0.0028,9.4072,0.0038,4.2202753634291935E-5,J08358+680,G 234-037,13.059,0.219,APASS9,12.372,0.05,11.599,0.065,APASS9
J08404+184,6.0,0.098114,0.0098114,J08404+184,13.54,0.012,0.001,0.0,1752.9533437553753,0.002638404505445536,1.0147304209914598,0.276664886186249,6.0,,,,,,32.68,,18.275,0.009,14.9917,0.003,13.5374,0.0048,0.0026384045054455366,J08404+184,AZ Cnc,,,,18.275,0.009,,,
J08563+126,4.5,,,J08563+126,11.654,0.004,0.0,0.0,0.0,Infinity,0.6519350709184436,0.21568631754543813,4.5,,,,,,0.2625,,15.239,0.06,12.7606,0.0028,11.458,0.0039,Infinity,J08563+126,G 41-8,16.295,0.07,UCAC4,15.239,0.06,14.48,0.05,UCAC4
J08589+084,3.5,,,J08589+084,6.77,0.09,0.0,0.0,0.0,Infinity,6.436956322261373,0.27112498964234766,3.5,,,,,,,,11.741,0.08,9.9713,0.004,8.2768,0.0046,Infinity,J08589+084,NLTT 20670,12.622,0.03,UCAC4,11.741,0.08,10.983,0.06,UCAC4
J08595+537,3.5,,,J08595+537,17.942,0.135,0.0,0.0,0.0,Infinity,1.6407821270951326,0.3656027951003982,3.5,,,,32.5,,0.581,,14.072,0.05,12.0937,0.004,10.6912,0.0039,Infinity,J08595+537,G 194-047,15.036,0.07,UCAC4,14.072,0.05,13.335,0.04,UCAC4
J09005+465,4.5,0.1982,0.00934,J09005+465,10.084,0.004,0.005,0.0,15801.998452955917,1.5953677732297766E-4,0.3067892159348125,0.10842887464753416,4.5,LA,Karmn,,2.0,,8.0,,14.088,0.02,11.7927,0.0028,10.5063,0.0039,1.5953677732297763E-4,J09005+465,GJ 1119,15.077,0.09,UCAC4,14.088,0.02,13.314,0.03,UCAC4
J09096+067,3.0,0.372,0.0159,J09096+067,22.998,0.012,0.015,0.0,9114.205225171581,0.0010091938602414423,5.82203924960016,0.8538737609852088,3.0,,,,,,,,14.064,0.06,12.0813,0.0029,10.9002,0.0041,0.0010091938602414426,J09096+067,2E 2104,14.892,0.05,UCAC4,14.064,0.06,13.323,0.02,UCAC4
